busdate,yy,mm,dd,dong_id,guest_cnt,ww,hh,g_cnt,wd
2022-03-12,2022,3,12,1123063,8482,5,0,42,1
2022-03-12,2022,3,12,1123060,10423,5,0,72,1
2022-03-12,2022,3,12,1123058,12793,5,0,124,1
2022-03-12,2022,3,12,1123052,12568,5,0,123,1
2022-03-12,2022,3,12,1123067,4397,5,0,24,1
2022-03-12,2022,3,12,1123059,6053,5,0,38,1
2022-03-12,2022,3,12,1123079,10849,5,0,117,1
2022-03-12,2022,3,12,1123078,13251,5,0,94,1
2022-03-12,2022,3,12,1123077,17625,5,0,146,1
2022-03-12,2022,3,12,1123075,8505,5,0,47,1
2022-03-12,2022,3,12,1123074,2103,5,0,7,1
2022-03-12,2022,3,12,1123073,2335,5,0,1,1
2022-03-12,2022,3,12,1123072,4862,5,0,13,1
2022-03-13,2022,3,13,1123053,4143,6,0,15,1
2022-03-13,2022,3,13,1123080,2556,6,0,16,1
2022-03-13,2022,3,13,1123071,2378,6,0,3,1
2022-03-13,2022,3,13,1123065,5646,6,0,27,1
2022-03-13,2022,3,13,1123051,5702,6,0,22,1
2022-03-13,2022,3,13,1123076,6312,6,0,13,1
2022-03-13,2022,3,13,1123068,1442,6,0,1,1
2022-03-13,2022,3,13,1123066,4502,6,0,27,1
2022-03-13,2022,3,13,1123064,14722,6,0,147,1
2022-03-13,2022,3,13,1123063,6122,6,0,32,1
2022-03-13,2022,3,13,1123060,6910,6,0,31,1
2022-03-13,2022,3,13,1123058,9057,6,0,57,1
2022-03-13,2022,3,13,1123052,6870,6,0,77,1
2022-03-13,2022,3,13,1123067,2768,6,0,19,1
2022-03-13,2022,3,13,1123059,3642,6,0,23,1
2022-03-13,2022,3,13,1123079,7334,6,0,41,1
2022-03-13,2022,3,13,1123078,7277,6,0,41,1
2022-03-13,2022,3,13,1123077,9728,6,0,69,1
2022-03-13,2022,3,13,1123075,5823,6,0,43,1
2022-03-13,2022,3,13,1123074,1530,6,0,2,1
2022-03-13,2022,3,13,1123073,1550,6,0,2,1
2022-03-13,2022,3,13,1123072,3490,6,0,7,1
2022-03-14,2022,3,14,1123053,4143,0,0,15,0
2022-03-14,2022,3,14,1123080,2556,0,0,16,0
2022-03-14,2022,3,14,1123071,2378,0,0,3,0
2022-03-14,2022,3,14,1123065,5646,0,0,27,0
2022-03-14,2022,3,14,1123051,5702,0,0,22,0
2022-03-14,2022,3,14,1123076,6312,0,0,13,0
2022-03-14,2022,3,14,1123068,1442,0,0,1,0
2022-03-14,2022,3,14,1123066,4502,0,0,27,0
2022-03-14,2022,3,14,1123064,14722,0,0,147,0
2022-03-14,2022,3,14,1123063,6122,0,0,32,0
2022-03-14,2022,3,14,1123060,6910,0,0,31,0
2022-03-14,2022,3,14,1123058,9057,0,0,57,0
2022-03-14,2022,3,14,1123052,6870,0,0,77,0
2022-03-14,2022,3,14,1123067,2768,0,0,19,0
2022-03-14,2022,3,14,1123059,3642,0,0,23,0
2022-03-14,2022,3,14,1123079,7334,0,0,41,0
2022-03-14,2022,3,14,1123078,7277,0,0,41,0
2022-03-14,2022,3,14,1123077,9728,0,0,69,0
2022-03-14,2022,3,14,1123075,5823,0,0,43,0
2022-03-14,2022,3,14,1123074,1530,0,0,2,0
2022-03-14,2022,3,14,1123073,1550,0,0,2,0
2022-03-14,2022,3,14,1123072,3490,0,0,7,0
2022-03-15,2022,3,15,1123053,12677,1,0,52,0
2022-03-15,2022,3,15,1123080,6022,1,0,14,0
2022-03-15,2022,3,15,1123071,6250,1,0,1,0
2022-03-15,2022,3,15,1123065,16193,1,0,75,0
2022-03-15,2022,3,15,1123051,11908,1,0,59,0
2022-03-15,2022,3,15,1123076,15649,1,0,25,0
2022-03-15,2022,3,15,1123068,4202,1,0,4,0
2022-03-15,2022,3,15,1123066,12059,1,0,60,0
2022-03-15,2022,3,15,1123064,38555,1,0,393,0
2022-03-15,2022,3,15,1123063,11558,1,0,72,0
2022-03-15,2022,3,15,1123060,11820,1,0,75,0
2022-03-15,2022,3,15,1123058,20671,1,0,115,0
2022-03-15,2022,3,15,1123052,18409,1,0,180,0
2022-03-15,2022,3,15,1123067,7294,1,0,26,0
2022-03-15,2022,3,15,1123059,12112,1,0,82,0
2022-03-15,2022,3,15,1123079,16343,1,0,114,0
2022-03-15,2022,3,15,1123078,19017,1,0,77,0
2022-03-15,2022,3,15,1123077,20640,1,0,125,0
2022-03-15,2022,3,15,1123075,13271,1,0,47,0
2022-03-15,2022,3,15,1123074,3228,1,0,7,0
2022-03-15,2022,3,15,1123073,3489,1,0,5,0
2022-03-15,2022,3,15,1123072,7792,1,0,24,0
2022-03-16,2022,3,16,1123071,6152,2,0,0,0
2022-03-16,2022,3,16,1123065,16197,2,0,75,0
2022-03-16,2022,3,16,1123051,12100,2,0,66,0
2022-03-16,2022,3,16,1123076,15390,2,0,32,0
2022-03-16,2022,3,16,1123068,4158,2,0,5,0
2022-03-16,2022,3,16,1123066,12102,2,0,67,0
2022-03-16,2022,3,16,1123064,38042,2,0,467,0
2022-03-16,2022,3,16,1123063,11546,2,0,92,0
2022-03-16,2022,3,16,1123060,11363,2,0,94,0
2022-03-16,2022,3,16,1123058,20800,2,0,148,0
2022-03-16,2022,3,16,1123052,18474,2,0,177,0
2022-03-16,2022,3,16,1123067,7248,2,0,35,0
2022-03-16,2022,3,16,1123059,12178,2,0,69,0
2022-03-16,2022,3,16,1123079,16332,2,0,110,0
2022-03-16,2022,3,16,1123078,19070,2,0,99,0
2022-03-16,2022,3,16,1123077,20804,2,0,150,0
2022-03-16,2022,3,16,1123075,13320,2,0,40,0
