"동별(1)",동별(2),동별(3),2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",중랑구,면목5동,6475,14959,7506,7453,14843,7467,7376,116,39,77
"합계",중랑구,면목7동,10585,22027,11029,10998,21713,10901,10812,314,128,186
"합계",중랑구,상봉1동,10227,24017,11676,12341,23877,11620,12257,140,56,84
"합계",중랑구,상봉2동,12278,20558,9891,10667,20250,9771,10479,308,120,188
"합계",중랑구,중화1동,9094,19669,9632,10037,19495,9568,9927,174,64,110
"합계",중랑구,중화2동,13651,25280,12946,12334,24829,12753,12076,451,193,258
"합계",중랑구,묵1동,15019,34602,16640,17962,34403,16574,17829,199,66,133
"합계",중랑구,묵2동,9273,18841,9223,9618,18621,9138,9483,220,85,135
"합계",중랑구,망우3동,8218,16539,8293,8246,16210,8153,8057,329,140,189
"합계",중랑구,신내1동,14785,38522,18646,19876,38381,18587,19794,141,59,82
"합계",중랑구,신내2동,8997,20311,9643,10668,20222,9615,10607,89,28,61
"합계",중랑구,면목본동,17747,34129,16836,17293,33427,16560,16867,702,276,426
"합계",중랑구,면목3.8동,12661,24989,12359,12630,24591,12192,12399,398,167,231
"합계",중랑구,망우본동,17275,35493,17608,17885,35148,17485,17663,345,123,222
"합계",성북구,소계,197296,442680,212277,230403,433150,208691,224459,9530,3586,5944
"합계",성북구,돈암1동,6092,14640,6826,7814,14542,6792,7750,98,34,64
"합계",성북구,돈암2동,8576,23817,11276,12541,23725,11236,12489,92,40,52
"합계",성북구,안암동,9691,16809,8218,8591,15194,7666,7528,1615,552,1063
"합계",성북구,보문동,7780,15753,7544,8209,15408,7404,8004,345,140,205
"합계",성북구,정릉1동,7385,18290,8768,9522,18102,8701,9401,188,67,121
"합계",성북구,정릉2동,9906,23130,11147,11983,22921,11083,11838,209,64,145
"합계",성북구,정릉3동,8151,16308,8014,8294,15269,7607,7662,1039,407,632
"합계",성북구,정릉4동,10877,25135,12022,13113,24745,11912,12833,390,110,280
"합계",성북구,길음1동,12446,35128,16660,18468,34973,16596,18377,155,64,91
"합계",성북구,길음2동,8296,20779,10005,10774,20648,9939,10709,131,66,65
"합계",성북구,월곡1동,10855,26408,12688,13720,26215,12624,13591,193,64,129
"합계",성북구,월곡2동,9699,19914,9574,10340,19434,9353,10081,480,221,259
"합계",성북구,장위1동,10761,24344,11880,12464,24154,11812,12342,190,68,122
"합계",성북구,장위2동,6719,13937,6866,7071,13697,6769,6928,240,97,143
"합계",성북구,장위3동,6472,15868,7777,8091,15746,7719,8027,122,58,64
"합계",성북구,성북동,8252,17023,7907,9116,16501,7696,8805,522,211,311
"합계",성북구,삼선동,11606,23428,11084,12344,22878,10892,11986,550,192,358
"합계",성북구,동선동,9663,16143,6707,9436,15499,6509,8990,644,198,446
"합계",성북구,종암동,17164,40053,19655,20398,38522,19096,19426,1531,559,972
"합계",성북구,석관동,16905,35773,17659,18114,34977,17285,17692,796,374,422
"합계",강북구,소계,144725,300824,145934,154890,297384,144643,152741,3440,1291,2149
"합계",강북구,번1동,10391,18791,9411,9380,18418,9275,9143,373,136,237
"합계",강북구,번2동,7574,15725,7583,8142,15643,7556,8087,82,27,55
"합계",강북구,번3동,7468,16751,7823,8928,16694,7813,8881,57,10,47
"합계",강북구,수유1동,10463,20740,10194,10546,20538,10119,10419,202,75,127
"합계",강북구,수유2동,9884,21323,10134,11189,21180,10089,11091,143,45,98
"합계",강북구,수유3동,13155,23516,11617,11899,23046,11460,11586,470,157,313
"합계",강북구,삼양동,11076,23611,11779,11832,23438,11721,11717,173,58,115
"합계",강북구,미아동,11678,21898,10460,11438,21395,10265,11130,503,195,308
"합계",강북구,송중동,13950,29818,14321,15497,29258,14078,15180,560,243,317
"합계",강북구,송천동,13494,26497,13089,13408,26081,12919,13162,416,170,246
"합계",강북구,삼각산동,11531,31175,14961,16214,31065,14913,16152,110,48,62
"합계",강북구,우이동,9630,20578,9903,10675,20443,9854,10589,135,49,86
"합계",강북구,인수동,14431,30401,14659,15742,30185,14581,15604,216,78,138
"합계",도봉구,소계,138836,318100,154440,163660,316098,153716,162382,2002,724,1278
"합계",도봉구,쌍문1동,9426,21618,10326,11292,21343,10254,11089,275,72,203
"합계",도봉구,쌍문2동,8601,18824,8968,9856,18692,8910,9782,132,58,74
"합계",도봉구,쌍문3동,8018,16871,8112,8759,16728,8067,8661,143,45,98
"합계",도봉구,쌍문4동,7117,18555,8746,9809,18519,8741,9778,36,5,31
"합계",도봉구,방학1동,13010,28813,14299,14514,28581,14208,14373,232,91,141
"합계",도봉구,방학2동,9406,19760,9971,9789,19553,9883,9670,207,88,119
"합계",도봉구,방학3동,9986,26952,13054,13898,26884,13033,13851,68,21,47
"합계",도봉구,창1동,10971,24731,11737,12994,24603,11690,12913,128,47,81
"합계",도봉구,창2동,12602,29214,14187,15027,28979,14093,14886,235,94,141
"합계",도봉구,창3동,6541,13863,6928,6935,13775,6896,6879,88,32,56
"합계",도봉구,창4동,10703,26503,12734,13769,26413,12695,13718,90,39,51
"합계",도봉구,창5동,10235,24579,11719,12860,24475,11687,12788,104,32,72
"합계",도봉구,도봉1동,10364,21032,10589,10443,20889,10539,10350,143,50,93
"합계",도봉구,도봉2동,11856,26785,13070,13715,26664,13020,13644,121,50,71
"합계",노원구,소계,219065,514445,247417,267028,510486,245663,264823,3959,1754,2205
"합계",노원구,월계1동,10291,22153,11453,10700,21536,11141,10395,617,312,305
"합계",노원구,월계2동,11904,26521,12738,13783,26390,12690,13700,131,48,83
"합계",노원구,월계3동,12981,29883,14234,15649,29708,14161,15547,175,73,102
"합계",노원구,공릉2동,17677,42389,20637,21752,41780,20355,21425,609,282,327
"합계",노원구,하계1동,12398,27706,13275,14431,27206,13043,14163,500,232,268
"합계",노원구,하계2동,8194,21855,10411,11444,21800,10388,11412,55,23,32
"합계",노원구,중계본동,8380,23875,11611,12264,23822,11592,12230,53,19,34
"합계",노원구,중계1동,8943,26733,12999,13734,26637,12962,13675,96,37,59
"합계",노원구,중계4동,8327,19850,9535,10315,19784,9502,10282,66,33,33
"합계",노원구,상계1동,15605,38030,18377,19653,37882,18326,19556,148,51,97
"합계",노원구,상계2동,8655,20015,9864,10151,19857,9789,10068,158,75,83
"합계",노원구,상계5동,10941,23971,11598,12373,23839,11555,12284,132,43,89
"합계",노원구,상계8동,9243,22491,10751,11740,22438,10735,11703,53,16,37
"합계",노원구,상계9동,8355,20346,9571,10775,20263,9543,10720,83,28,55
"합계",노원구,상계10동,7651,18617,8615,10002,18562,8592,9970,55,23,32
"합계",노원구,상계3.4동,11967,26033,12939,13094,25933,12907,13026,100,32,68
"합계",노원구,상계6.7동,13883,32563,15027,17536,32431,14976,17455,132,51,81
"합계",노원구,중계2.3동,15218,34026,15592,18434,33896,15546,18350,130,46,84
"합계",노원구,공릉1동,18452,37388,18190,19198,36722,17860,18862,666,330,336
"합계",은평구,소계,215178,476013,227172,248841,472259,225640,246619,3754,1532,2222
"합계",은평구,녹번동,17646,37109,17545,19564,36747,17382,19365,362,163,199
"합계",은평구,불광1동,17813,38695,18218,20477,38444,18111,20333,251,107,144
"합계",은평구,갈현1동,10726,21768,10631,11137,21572,10542,11030,196,89,107
"합계",은평구,갈현2동,12626,28374,13431,14943,28094,13319,14775,280,112,168
"합계",은평구,구산동,13301,32338,15798,16540,32095,15696,16399,243,102,141
"합계",은평구,대조동,14619,27167,12589,14578,26875,12469,14406,292,120,172
"합계",은평구,응암1동,15002,33303,15750,17553,32996,15623,17373,307,127,180
"합계",은평구,응암2동,11324,28258,13694,14564,28069,13612,14457,189,82,107
"합계",은평구,신사1동,11900,27117,12993,14124,26922,12926,13996,195,67,128
"합계",은평구,신사2동,8884,20059,9981,10078,19933,9940,9993,126,41,85
"합계",은평구,증산동,6802,15085,7350,7735,14968,7295,7673,117,55,62
"합계",은평구,수색동,5543,13246,6501,6745,13184,6476,6708,62,25,37
"합계",은평구,진관동,21510,55605,26067,29538,55394,25987,29407,211,80,131
"합계",은평구,불광2동,14017,27645,13334,14311,27397,13236,14161,248,98,150
"합계",은평구,응암3동,12553,24608,11931,12677,24304,11810,12494,304,121,183
"합계",은평구,역촌동,20912,45636,21359,24277,45265,21216,24049,371,143,228
"합계",서대문구,소계,145044,317075,149805,167270,305866,145958,159908,11209,3847,7362
"합계",서대문구,천연동,7736,17222,8179,9043,16994,8056,8938,228,123,105
"합계",서대문구,홍제1동,10378,23723,11093,12630,23478,10995,12483,245,98,147
"합계",서대문구,홍제3동,7880,17490,8400,9090,17339,8339,9000,151,61,90
"합계",서대문구,홍제2동,5785,13697,6427,7270,13601,6388,7213,96,39,57
"합계",서대문구,홍은1동,9802,22895,11036,11859,22667,10954,11713,228,82,146
"합계",서대문구,홍은2동,12340,27089,13004,14085,26361,12720,13641,728,284,444
"합계",서대문구,남가좌1동,5673,15610,7458,8152,15394,7363,8031,216,95,121
"합계",서대문구,남가좌2동,13371,30758,14678,16080,29697,14319,15378,1061,359,702
"합계",서대문구,북가좌1동,6885,18007,8651,9356,17904,8612,9292,103,39,64
"합계",서대문구,북가좌2동,14602,31671,15449,16222,31371,15335,16036,300,114,186
"합계",서대문구,충현동,10311,20722,9978,10744,20324,9790,10534,398,188,210
"합계",서대문구,북아현동,7202,16123,7726,8397,15824,7601,8223,299,125,174
"합계",서대문구,신촌동,14476,24469,9915,14554,20120,8859,11261,4349,1056,3293
"합계",서대문구,연희동,18603,37599,17811,19788,34792,16627,18165,2807,1184,1623
"합계",마포구,소계,180702,378629,176886,201743,368331,173073,195258,10298,3813,6485
"합계",마포구,용강동,9347,21943,10397,11546,21534,10191,11343,409,206,203
"합계",마포구,대흥동,8756,15976,7459,8517,14549,7028,7521,1427,431,996
"합계",마포구,염리동,7838,17742,8347,9395,16849,8086,8763,893,261,632
"합계",마포구,신수동,10043,22833,11093,11740,22493,10953,11540,340,140,200
"합계",마포구,서교동,15579,26912,11993,14919,24952,11401,13551,1960,592,1368
"합계",마포구,합정동,9566,17631,8140,9491,17287,8007,9280,344,133,211
"합계",마포구,망원1동,10313,20258,9467,10791,19937,9321,10616,321,146,175
"합계",마포구,망원2동,8491,18723,8749,9974,18520,8670,9850,203,79,124
"합계",마포구,연남동,8672,16002,7453,8549,14934,7046,7888,1068,407,661
"합계",마포구,성산1동,9464,19235,9044,10191,18912,8902,10010,323,142,181
"합계",마포구,성산2동,19386,39830,17891,21939,39526,17792,21734,304,99,205
"합계",마포구,상암동,12728,31356,14876,16480,30657,14542,16115,699,334,365
"합계",마포구,도화동,9297,21269,10147,11122,21019,10033,10986,250,114,136
"합계",마포구,서강동,12235,25657,12156,13501,24968,11932,13036,689,224,465
"합계",마포구,공덕동,18569,37726,17718,20008,37099,17416,19683,627,302,325
"합계",마포구,아현동,10418,25536,11956,13580,25095,11753,13342,441,203,238
"합계",양천구,소계,181765,449378,219882,229496,446182,218554,227628,3196,1328,1868
"합계",양천구,목1동,10371,30696,14776,15920,30552,14699,15853,144,77,67
"합계",양천구,목2동,13422,30056,14623,15433,29829,14538,15291,227,85,142
"합계",양천구,목3동,10121,22021,10483,11538,21874,10418,11456,147,65,82
"합계",양천구,목4동,10150,25441,12412,13029,25265,12335,12930,176,77,99
"합계",양천구,신월1동,10260,20668,10559,10109,20397,10457,9940,271,102,169
"합계",양천구,신월2동,8471,20714,10083,10631,20555,10017,10538,159,66,93
"합계",양천구,신월3동,7932,15277,8065,7212,15097,7980,7117,180,85,95
"합계",양천구,신월4동,6880,17897,8723,9174,17806,8697,9109,91,26,65
"합계",양천구,신월5동,6484,14714,7301,7413,14574,7252,7322,140,49,91
"합계",양천구,신월6동,5338,13871,6771,7100,13821,6752,7069,50,19,31
"합계",양천구,신월7동,9178,19739,9621,10118,19600,9583,10017,139,38,101
"합계",양천구,신정1동,7068,20337,9911,10426,20227,9860,10367,110,51,59
"합계",양천구,신정2동,7008,19520,9582,9938,19415,9534,9881,105,48,57
"합계",양천구,신정3동,19546,50271,24395,25876,49922,24235,25687,349,160,189
"합계",양천구,신정6동,8281,24531,11923,12608,24508,11915,12593,23,8,15
"합계",양천구,신정7동,11467,29030,14011,15019,28874,13942,14932,156,69,87
"합계",양천구,목5동,13441,41103,20375,20728,41022,20346,20676,81,29,52
"합계",양천구,신정4동,16347,33492,16268,17224,32844,15994,16850,648,274,374
"합계",강서구,소계,272572,578426,277797,300629,573046,275422,297624,5380,2375,3005
"합계",강서구,염창동,16351,41692,20150,21542,41563,20083,21480,129,67,62
"합계",강서구,등촌1동,13783,24628,11359,13269,24438,11296,13142,190,63,127
"합계",강서구,등촌2동,8668,20247,9862,10385,20126,9816,10310,121,46,75
"합계",강서구,등촌3동,15181,30700,14486,16214,30527,14421,16106,173,65,108
"합계",강서구,화곡본동,17449,34659,16752,17907,34263,16596,17667,396,156,240
"합계",강서구,화곡2동,8211,17995,8683,9312,17729,8583,9146,266,100,166
"합계",강서구,화곡3동,9721,21664,10313,11351,21517,10256,11261,147,57,90
"합계",강서구,화곡4동,9798,20792,10163,10629,20513,10037,10476,279,126,153
"합계",강서구,화곡6동,12785,25167,12122,13045,24943,12039,12904,224,83,141
"합계",강서구,화곡8동,11921,24775,11931,12844,24385,11757,12628,390,174,216
"합계",강서구,가양1동,20651,34435,15716,18719,34155,15588,18567,280,128,152
"합계",강서구,가양2동,8024,13971,6595,7376,13892,6576,7316,79,19,60
"합계",강서구,가양3동,7872,15004,6978,8026,14906,6935,7971,98,43,55
"합계",강서구,발산1동,13464,36393,17164,19229,36210,17073,19137,183,91,92
"합계",강서구,공항동,14071,31297,15832,15465,30684,15477,15207,613,355,258
"합계",강서구,방화1동,17231,42879,20894,21985,42641,20783,21858,238,111,127
"합계",강서구,방화2동,12002,23523,11617,11906,23240,11462,11778,283,155,128
"합계",강서구,방화3동,11267,22790,11026,11764,22651,10971,11680,139,55,84
"합계",강서구,화곡1동,27973,52820,25602,27218,51877,25218,26659,943,384,559
"합계",강서구,우장산동,16149,42995,20552,22443,42786,20455,22331,209,97,112
"합계",구로구,소계,181916,419984,208027,211957,396017,195002,201015,23967,13025,10942
"합계",구로구,신도림동,13844,36339,17634,18705,36022,17486,18536,317,148,169
"합계",구로구,구로1동,8367,21132,10345,10787,20799,10181,10618,333,164,169
"합계",구로구,구로3동,13502,25194,12977,12217,23573,12137,11436,1621,840,781
"합계",구로구,구로4동,10616,23580,11690,11890,19581,9474,10107,3999,2216,1783
"합계",구로구,구로5동,15475,32012,15626,16386,29465,14286,15179,2547,1340,1207
"합계",구로구,고척1동,9487,22389,11139,11250,22081,10987,11094,308,152,156
"합계",구로구,고척2동,11483,26993,13358,13635,26540,13148,13392,453,210,243
"합계",구로구,개봉2동,12561,31144,15160,15984,30723,14968,15755,421,192,229
"합계",구로구,개봉3동,8852,20602,10020,10582,20239,9838,10401,363,182,181
"합계",구로구,오류1동,12146,23064,11166,11898,22473,10879,11594,591,287,304
"합계",구로구,수궁동,10013,23656,11664,11992,23358,11514,11844,298,150,148
"합계",구로구,가리봉동,6112,13060,7403,5657,9055,4945,4110,4005,2458,1547
"합계",구로구,구로2동,12592,30908,15876,15032,23656,11902,11754,7252,3974,3278
"합계",구로구,개봉1동,14938,34433,17144,17289,33658,16773,16885,775,371,404
"합계",구로구,오류2동,15666,38917,18734,20183,38353,18448,19905,564,286,278
"합계",구로구,항동,6262,16561,8091,8470,16441,8036,8405,120,55,65
"합계",금천구,소계,118697,244901,123959,120942,231098,116568,114530,13803,7391,6412
"합계",금천구,가산동,17076,26363,14337,12026,23866,12902,10964,2497,1435,1062
"합계",금천구,독산1동,23716,47111,24184,22927,45323,23228,22095,1788,956,832
"합계",금천구,독산2동,9569,20112,10217,9895,18677,9457,9220,1435,760,675
"합계",금천구,독산3동,12883,27629,14013,13616,24254,12138,12116,3375,1875,1500
"합계",금천구,독산4동,7684,16676,8387,8289,15098,7565,7533,1578,822,756
"합계",금천구,시흥1동,16175,34402,17113,17289,32721,16244,16477,1681,869,812
"합계",금천구,시흥2동,8266,21209,10185,11024,21089,10135,10954,120,50,70
"합계",금천구,시흥3동,4732,10890,5395,5495,10742,5329,5413,148,66,82
"합계",금천구,시흥4동,9223,20904,10327,10577,20253,10014,10239,651,313,338
"합계",금천구,시흥5동,9373,19605,9801,9804,19075,9556,9519,530,245,285
"합계",영등포구,소계,188193,400241,198080,202161,376740,185696,191044,23501,12384,11117
"합계",영등포구,여의동,13414,33222,15600,17622,32857,15414,17443,365,186,179
"합계",영등포구,당산1동,10923,20728,10134,10594,20382,9977,10405,346,157,189
"합계",영등포구,당산2동,19057,37960,17781,20179,37593,17626,19967,367,155,212
"합계",영등포구,양평1동,9863,18624,9061,9563,18339,8945,9394,285,116,169
"합계",영등포구,양평2동,10703,22432,10969,11463,22243,10893,11350,189,76,113
"합계",영등포구,신길1동,10732,18747,9581,9166,17376,8864,8512,1371,717,654
"합계",영등포구,신길3동,7672,17546,8714,8832,16559,8181,8378,987,533,454
"합계",영등포구,신길4동,5757,13095,6558,6537,12366,6164,6202,729,394,335
"합계",영등포구,신길5동,4774,11521,5656,5865,10457,5103,5354,1064,553,511
"합계",영등포구,신길6동,9187,19826,9725,10101,19056,9321,9735,770,404,366
"합계",영등포구,신길7동,7907,20126,10024,10102,19933,9933,10000,193,91,102
"합계",영등포구,대림1동,7105,16934,8571,8363,14433,7189,7244,2501,1382,1119
"합계",영등포구,대림2동,6953,18016,9250,8766,11930,5881,6049,6086,3369,2717
"합계",영등포구,대림3동,10406,25744,12959,12785,22229,11114,11115,3515,1845,1670
"합계",영등포구,영등포본동,10486,23081,11852,11229,21239,10881,10358,1842,971,871
"합계",영등포구,영등포동,20620,30091,15628,14463,29423,15302,14121,668,326,342
"합계",영등포구,도림동,9479,19816,9992,9824,17789,8980,8809,2027,1012,1015
"합계",영등포구,문래동,13155,32732,16025,16707,32536,15928,16608,196,97,99
"합계",동작구,소계,186419,394649,190377,204272,386017,186648,199369,8632,3729,4903
"합계",동작구,노량진2동,6923,11380,5859,5521,10693,5515,5178,687,344,343
"합계",동작구,상도1동,22033,45781,22080,23701,44452,21577,22875,1329,503,826
"합계",동작구,상도2동,12607,28195,13495,14700,27945,13407,14538,250,88,162
"합계",동작구,상도3동,12085,24726,11784,12942,24390,11629,12761,336,155,181
"합계",동작구,상도4동,14192,28917,14001,14916,28585,13880,14705,332,121,211
