구별,동별,소계,남자,여자
양천구,신정1동,"20,337","9,911","10,426"
양천구,신정2동,"19,520","9,582","9,938"
양천구,신정3동,"50,271","24,395","25,876"
양천구,신정6동,"24,531","11,923","12,608"
양천구,신정7동,"29,030","14,011","15,019"
양천구,목5동,"41,103","20,375","20,728"
양천구,신정4동,"33,492","16,268","17,224"
강서구,염창동,"41,692","20,150","21,542"
강서구,등촌1동,"24,628","11,359","13,269"
강서구,등촌2동,"20,247","9,862","10,385"
강서구,등촌3동,"30,700","14,486","16,214"
강서구,화곡본동,"34,659","16,752","17,907"
강서구,화곡2동,"17,995","8,683","9,312"
강서구,화곡3동,"21,664","10,313","11,351"
강서구,화곡4동,"20,792","10,163","10,629"
강서구,화곡6동,"25,167","12,122","13,045"
강서구,화곡8동,"24,775","11,931","12,844"
강서구,가양1동,"34,435","15,716","18,719"
강서구,가양2동,"13,971","6,595","7,376"
강서구,가양3동,"15,004","6,978","8,026"
강서구,발산1동,"36,393","17,164","19,229"
강서구,공항동,"31,297","15,832","15,465"
강서구,방화1동,"42,879","20,894","21,985"
강서구,방화2동,"23,523","11,617","11,906"
강서구,방화3동,"22,790","11,026","11,764"
강서구,화곡1동,"52,820","25,602","27,218"
강서구,우장산동,"42,995","20,552","22,443"
구로구,신도림동,"36,339","17,634","18,705"
구로구,구로1동,"21,132","10,345","10,787"
구로구,구로3동,"25,194","12,977","12,217"
구로구,구로4동,"23,580","11,690","11,890"
구로구,구로5동,"32,012","15,626","16,386"
구로구,고척1동,"22,389","11,139","11,250"
구로구,고척2동,"26,993","13,358","13,635"
구로구,개봉2동,"31,144","15,160","15,984"
구로구,개봉3동,"20,602","10,020","10,582"
구로구,오류1동,"23,064","11,166","11,898"
구로구,수궁동,"23,656","11,664","11,992"
구로구,가리봉동,"13,060","7,403","5,657"
구로구,구로2동,"30,908","15,876","15,032"
구로구,개봉1동,"34,433","17,144","17,289"
구로구,오류2동,"38,917","18,734","20,183"
구로구,항동,"16,561","8,091","8,470"
금천구,가산동,"26,363","14,337","12,026"
금천구,독산1동,"47,111","24,184","22,927"
금천구,독산2동,"20,112","10,217","9,895"
금천구,독산3동,"27,629","14,013","13,616"
금천구,독산4동,"16,676","8,387","8,289"
금천구,시흥1동,"34,402","17,113","17,289"
금천구,시흥2동,"21,209","10,185","11,024"
금천구,시흥3동,"10,890","5,395","5,495"
금천구,시흥4동,"20,904","10,327","10,577"
금천구,시흥5동,"19,605","9,801","9,804"
영등포구,여의동,"33,222","15,600","17,622"
영등포구,당산1동,"20,728","10,134","10,594"
영등포구,당산2동,"37,960","17,781","20,179"
영등포구,양평1동,"18,624","9,061","9,563"
영등포구,양평2동,"22,432","10,969","11,463"
영등포구,신길1동,"18,747","9,581","9,166"
영등포구,신길3동,"17,546","8,714","8,832"
영등포구,신길4동,"13,095","6,558","6,537"
영등포구,신길5동,"11,521","5,656","5,865"
영등포구,신길6동,"19,826","9,725","10,101"
영등포구,신길7동,"20,126","10,024","10,102"
영등포구,대림1동,"16,934","8,571","8,363"
영등포구,대림2동,"18,016","9,250","8,766"
영등포구,대림3동,"25,744","12,959","12,785"
영등포구,영등포본동,"23,081","11,852","11,229"
영등포구,영등포동,"30,091","15,628","14,463"
영등포구,도림동,"19,816","9,992","9,824"
영등포구,문래동,"32,732","16,025","16,707"
동작구,노량진2동,"11,380","5,859","5,521"
동작구,상도1동,"45,781","22,080","23,701"
동작구,상도2동,"28,195","13,495","14,700"
동작구,상도3동,"24,726","11,784","12,942"
동작구,상도4동,"28,917","14,001","14,916"
동작구,사당1동,"23,268","11,106","12,162"
동작구,사당3동,"24,532","11,903","12,629"
동작구,사당4동,"14,350","6,861","7,489"
동작구,사당5동,"14,543","6,967","7,576"
동작구,대방동,"38,151","18,090","20,061"
동작구,신대방1동,"24,838","11,983","12,855"
동작구,신대방2동,"22,223","10,599","11,624"
동작구,흑석동,"32,996","15,812","17,184"
동작구,노량진1동,"32,215","16,142","16,073"
동작구,사당2동,"28,534","13,695","14,839"
관악구,보라매동,"24,927","12,225","12,702"
관악구,청림동,"15,135","7,329","7,806"
