busdate,yy,mm,dd,dong_id,guest_cnt,ww,hh,g_cnt,wd,gu_id
2022-03-10,2022,3,10,1124058,6168,3,0,44,0,11240
2022-03-10,2022,3,10,1124057,3135,3,0,9,0,11240
2022-03-10,2022,3,10,1124056,5877,3,0,18,0,11240
2022-03-10,2022,3,10,1124054,2903,3,0,11,0,11240
2022-03-10,2022,3,10,1124052,6613,3,0,4,0,11240
2022-03-10,2022,3,10,1124082,11741,3,0,47,0,11240
2022-03-10,2022,3,10,1124081,9727,3,0,39,0,11240
2022-03-10,2022,3,10,1124065,8740,3,0,62,0,11240
2022-03-10,2022,3,10,1124064,7132,3,0,31,0,11240
2022-03-11,2022,3,11,1124082,12197,4,0,58,0,11240
2022-03-11,2022,3,11,1124081,10106,4,0,50,0,11240
2022-03-11,2022,3,11,1124065,9059,4,0,84,0,11240
2022-03-11,2022,3,11,1124064,7281,4,0,81,0,11240
2022-03-11,2022,3,11,1124053,2719,4,0,18,0,11240
2022-03-11,2022,3,11,1124077,14869,4,0,156,0,11240
2022-03-11,2022,3,11,1124069,8628,4,0,113,0,11240
2022-03-11,2022,3,11,1124063,12102,4,0,86,0,11240
2022-03-11,2022,3,11,1124059,5079,4,0,41,0,11240
2022-03-11,2022,3,11,1124055,3253,4,0,2,0,11240
2022-03-11,2022,3,11,1124051,3522,4,0,4,0,11240
2022-03-11,2022,3,11,1124068,4363,4,0,23,0,11240
2022-03-11,2022,3,11,1124080,16415,4,0,191,0,11240
2022-03-11,2022,3,11,1124079,3948,4,0,27,0,11240
2022-03-11,2022,3,11,1124078,4310,4,0,44,0,11240
2022-03-11,2022,3,11,1124075,1915,4,0,5,0,11240
2022-03-11,2022,3,11,1124071,9886,4,0,101,0,11240
2022-03-11,2022,3,11,1124067,6194,4,0,42,0,11240
2022-03-11,2022,3,11,1124066,7951,4,0,100,0,11240
2022-03-11,2022,3,11,1124062,2091,4,0,14,0,11240
2022-03-11,2022,3,11,1124061,8328,4,0,58,0,11240
2022-03-11,2022,3,11,1124060,10082,4,0,32,0,11240
2022-03-11,2022,3,11,1124058,6377,4,0,44,0,11240
2022-03-11,2022,3,11,1124057,3176,4,0,16,0,11240
2022-03-11,2022,3,11,1124056,6214,4,0,20,0,11240
2022-03-11,2022,3,11,1124054,2864,4,0,19,0,11240
2022-03-11,2022,3,11,1124052,6700,4,0,2,0,11240
2022-03-12,2022,3,12,1124082,7693,5,0,33,1,11240
2022-03-12,2022,3,12,1124081,6891,5,0,23,1,11240
2022-03-12,2022,3,12,1124065,5764,5,0,32,1,11240
2022-03-12,2022,3,12,1124064,5212,5,0,33,1,11240
2022-03-12,2022,3,12,1124053,1768,5,0,11,1,11240
2022-03-12,2022,3,12,1124077,11839,5,0,103,1,11240
2022-03-12,2022,3,12,1124069,5271,5,0,72,1,11240
2022-03-12,2022,3,12,1124063,8373,5,0,60,1,11240
2022-03-12,2022,3,12,1124059,3391,5,0,27,1,11240
2022-03-12,2022,3,12,1124055,2626,5,0,2,1,11240
2022-03-12,2022,3,12,1124051,2270,5,0,2,1,11240
2022-03-12,2022,3,12,1124068,2637,5,0,28,1,11240
2022-03-12,2022,3,12,1124080,12896,5,0,152,1,11240
2022-03-12,2022,3,12,1124079,3393,5,0,18,1,11240
2022-03-12,2022,3,12,1124078,3062,5,0,30,1,11240
2022-03-12,2022,3,12,1124075,1320,5,0,6,1,11240
2022-03-12,2022,3,12,1124071,7897,5,0,73,1,11240
2022-03-12,2022,3,12,1124067,4338,5,0,18,1,11240
2022-03-12,2022,3,12,1124066,5483,5,0,57,1,11240
2022-03-12,2022,3,12,1124062,1199,5,0,11,1,11240
2022-03-12,2022,3,12,1124061,6616,5,0,51,1,11240
2022-03-12,2022,3,12,1124060,6944,5,0,23,1,11240
2022-03-12,2022,3,12,1124058,4789,5,0,46,1,11240
2022-03-12,2022,3,12,1124057,2367,5,0,9,1,11240
2022-03-12,2022,3,12,1124056,4706,5,0,18,1,11240
2022-03-12,2022,3,12,1124054,1998,5,0,9,1,11240
2022-03-12,2022,3,12,1124052,3978,5,0,3,1,11240
2022-03-13,2022,3,13,1124082,4948,6,0,24,1,11240
2022-03-13,2022,3,13,1124081,4673,6,0,19,1,11240
2022-03-13,2022,3,13,1124065,3727,6,0,23,1,11240
2022-03-13,2022,3,13,1124064,3468,6,0,22,1,11240
2022-03-13,2022,3,13,1124053,1235,6,0,8,1,11240
2022-03-13,2022,3,13,1124077,8252,6,0,50,1,11240
2022-03-13,2022,3,13,1124069,3500,6,0,52,1,11240
2022-03-13,2022,3,13,1124063,5495,6,0,50,1,11240
2022-03-13,2022,3,13,1124059,2324,6,0,19,1,11240
2022-03-13,2022,3,13,1124055,1670,6,0,2,1,11240
2022-03-13,2022,3,13,1124051,1657,6,0,1,1,11240
2022-03-13,2022,3,13,1124068,1768,6,0,12,1,11240
2022-03-13,2022,3,13,1124080,8730,6,0,59,1,11240
2022-03-13,2022,3,13,1124079,2372,6,0,4,1,11240
2022-03-13,2022,3,13,1124078,2288,6,0,11,1,11240
2022-03-13,2022,3,13,1124075,832,6,0,0,1,11240
2022-03-13,2022,3,13,1124071,5284,6,0,55,1,11240
2022-03-13,2022,3,13,1124067,2801,6,0,17,1,11240
2022-03-13,2022,3,13,1124066,3332,6,0,45,1,11240
2022-03-13,2022,3,13,1124062,793,6,0,7,1,11240
2022-03-13,2022,3,13,1124061,4216,6,0,33,1,11240
2022-03-13,2022,3,13,1124060,4741,6,0,7,1,11240
2022-03-13,2022,3,13,1124058,3352,6,0,30,1,11240
2022-03-13,2022,3,13,1124057,1667,6,0,7,1,11240
2022-03-13,2022,3,13,1124056,3054,6,0,1,1,11240
2022-03-13,2022,3,13,1124054,1304,6,0,5,1,11240
2022-03-13,2022,3,13,1124052,2805,6,0,1,1,11240
2022-03-14,2022,3,14,1124082,4948,0,0,24,0,11240
2022-03-14,2022,3,14,1124081,4673,0,0,19,0,11240
2022-03-14,2022,3,14,1124065,3727,0,0,23,0,11240
2022-03-14,2022,3,14,1124064,3468,0,0,22,0,11240
2022-03-14,2022,3,14,1124053,1235,0,0,8,0,11240
2022-03-14,2022,3,14,1124077,8252,0,0,50,0,11240
2022-03-14,2022,3,14,1124069,3500,0,0,52,0,11240
2022-03-14,2022,3,14,1124063,5495,0,0,50,0,11240
2022-03-14,2022,3,14,1124059,2324,0,0,19,0,11240
2022-03-14,2022,3,14,1124055,1670,0,0,2,0,11240
2022-03-14,2022,3,14,1124051,1657,0,0,1,0,11240
2022-03-14,2022,3,14,1124068,1768,0,0,12,0,11240
2022-03-14,2022,3,14,1124080,8730,0,0,59,0,11240
2022-03-14,2022,3,14,1124079,2372,0,0,4,0,11240
2022-03-14,2022,3,14,1124078,2288,0,0,11,0,11240
2022-03-14,2022,3,14,1124075,832,0,0,0,0,11240
2022-03-14,2022,3,14,1124071,5284,0,0,55,0,11240
2022-03-14,2022,3,14,1124067,2801,0,0,17,0,11240
2022-03-14,2022,3,14,1124066,3332,0,0,45,0,11240
2022-03-14,2022,3,14,1124062,793,0,0,7,0,11240
2022-03-14,2022,3,14,1124061,4216,0,0,33,0,11240
2022-03-14,2022,3,14,1124060,4741,0,0,7,0,11240
2022-03-14,2022,3,14,1124058,3352,0,0,30,0,11240
2022-03-14,2022,3,14,1124057,1667,0,0,7,0,11240
2022-03-14,2022,3,14,1124056,3054,0,0,1,0,11240
2022-03-14,2022,3,14,1124054,1304,0,0,5,0,11240
2022-03-14,2022,3,14,1124052,2805,0,0,1,0,11240
2022-03-15,2022,3,15,1124082,11973,1,0,40,0,11240
2022-03-15,2022,3,15,1124081,10030,1,0,30,0,11240
2022-03-15,2022,3,15,1124065,8916,1,0,75,0,11240
2022-03-15,2022,3,15,1124064,7189,1,0,40,0,11240
2022-03-15,2022,3,15,1124053,2641,1,0,10,0,11240
2022-03-15,2022,3,15,1124077,13493,1,0,91,0,11240
2022-03-15,2022,3,15,1124069,8566,1,0,94,0,11240
2022-03-15,2022,3,15,1124063,11633,1,0,70,0,11240
2022-03-15,2022,3,15,1124059,4991,1,0,33,0,11240
2022-03-15,2022,3,15,1124055,3316,1,0,4,0,11240
2022-03-15,2022,3,15,1124051,3435,1,0,1,0,11240
2022-03-15,2022,3,15,1124068,4360,1,0,17,0,11240
2022-03-15,2022,3,15,1124080,15781,1,0,125,0,11240
2022-03-15,2022,3,15,1124079,3701,1,0,16,0,11240
2022-03-15,2022,3,15,1124078,4128,1,0,36,0,11240
2022-03-15,2022,3,15,1124075,1844,1,0,6,0,11240
2022-03-15,2022,3,15,1124071,9220,1,0,67,0,11240
2022-03-15,2022,3,15,1124067,6181,1,0,18,0,11240
2022-03-15,2022,3,15,1124066,7619,1,0,85,0,11240
2022-03-15,2022,3,15,1124062,2151,1,0,8,0,11240
2022-03-15,2022,3,15,1124061,7946,1,0,48,0,11240
2022-03-15,2022,3,15,1124060,9795,1,0,12,0,11240
2022-03-15,2022,3,15,1124058,6069,1,0,32,0,11240
2022-03-15,2022,3,15,1124057,3054,1,0,6,0,11240
2022-03-15,2022,3,15,1124056,5993,1,0,12,0,11240
2022-03-15,2022,3,15,1124054,3060,1,0,18,0,11240
2022-03-15,2022,3,15,1124052,6496,1,0,3,0,11240
2022-03-16,2022,3,16,1124053,2717,2,0,5,0,11240
2022-03-16,2022,3,16,1124077,13659,2,0,106,0,11240
2022-03-16,2022,3,16,1124069,8661,2,0,100,0,11240
2022-03-16,2022,3,16,1124063,11789,2,0,56,0,11240
2022-03-16,2022,3,16,1124059,5081,2,0,21,0,11240
2022-03-16,2022,3,16,1124055,3339,2,0,7,0,11240
2022-03-16,2022,3,16,1124051,3443,2,0,1,0,11240
2022-03-16,2022,3,16,1124068,4456,2,0,22,0,11240
2022-03-16,2022,3,16,1124080,15910,2,0,161,0,11240
2022-03-16,2022,3,16,1124079,3572,2,0,25,0,11240
2022-03-16,2022,3,16,1124078,4171,2,0,40,0,11240
2022-03-16,2022,3,16,1124075,1809,2,0,1,0,11240
2022-03-16,2022,3,16,1124071,9294,2,0,76,0,11240
2022-03-16,2022,3,16,1124067,6101,2,0,29,0,11240
2022-03-16,2022,3,16,1124066,7628,2,0,84,0,11240
2022-03-16,2022,3,16,1124062,2104,2,0,11,0,11240
2022-03-16,2022,3,16,1124061,8063,2,0,59,0,11240
2022-03-16,2022,3,16,1124060,9721,2,0,22,0,11240
2022-03-16,2022,3,16,1124058,6046,2,0,34,0,11240
2022-03-16,2022,3,16,1124057,3081,2,0,11,0,11240
2022-03-16,2022,3,16,1124056,6089,2,0,13,0,11240
2022-03-16,2022,3,16,1124054,2819,2,0,6,0,11240
2022-03-16,2022,3,16,1124052,6778,2,0,2,0,11240
2022-03-16,2022,3,16,1124082,12033,2,0,43,0,11240
2022-03-16,2022,3,16,1124081,10047,2,0,36,0,11240
2022-03-16,2022,3,16,1124065,8911,2,0,65,0,11240
2022-03-16,2022,3,16,1124064,7182,2,0,49,0,11240
2022-03-17,2022,3,17,1124082,12027,3,0,51,0,11240
